Player,FNL,FSP,FSW,SSP,SSW,ACE,DBF,WNR,UFE,BPC,BPW,NPA,NPW,TPW,ST,ST3,ST4,ST5
M.Koehler,0,60,21,40,8,2.0,4,19,18,7,2,3,3,,1,,,
E.Baltacha,0,69,23,31,6,0.0,0,12,10,1,1,14,10,,4,,,
S-W.Hsieh,2,63,17,37,10,1.0,1,23,13,14,6,13,8,,6,,,
A.Cornet,2,57,36,43,21,4.0,4,35,30,14,4,22,17,,4,6.0,,
Y.Putintseva,0,73,34,27,12,2.0,2,24,28,4,1,12,7,,5,,,
A.Tomljanovic,1,59,38,41,22,6.0,4,35,42,14,2,12,6,,6,7.0,,
Y.Wickmayer,1,69,40,31,13,1.0,3,31,37,6,4,17,10,,6,4.0,,
J.Jankovic,2,68,31,32,12,2.0,1,23,13,5,3,12,11,,6,,,
V.Razzano,0,78,21,22,9,1.0,2,17,15,1,1,15,9,,6,,,
E.Bouchard,2,61,44,39,24,3.0,2,29,25,5,3,20,17,,5,6.0,,
S.Arvidsson,0,73,19,27,6,1.0,0,7,10,8,0,4,2,,1,,,
C.Suarez Navarro,2,68,27,32,14,,1,23,19,10,6,24,18,,6,,,
J.Larsson,0,63,20,37,9,2.0,4,14,19,0,0,7,5,,3,,,
G.Muguruza,2,67,28,33,9,3.0,4,23,16,9,4,18,13,,6,,,
K.Bertens,0,57,31,43,11,3.0,5,9,34,2,2,13,6,,4,,,
P.Kvitova,2,67,40,33,17,2.0,5,32,31,15,5,24,15,,6,6.0,,
K.Mladenovic,0,52,29,48,17,6.0,7,18,20,1,0,15,11,,6,,,
M.Larcher De Brito,2,68,46,32,15,1.0,5,16,42,6,5,14,8,,7,6.0,,
L.Hradecka,0,65,23,35,8,2.0,2,16,16,3,0,8,4,,3,,,
L.Safarova,2,63,24,37,11,2.0,1,19,9,5,4,5,2,,6,,,
S.Voegele,0,51,29,49,19,1.0,3,13,32,10,4,18,16,,5,,,
C.Giorgi,2,54,23,46,19,1.0,4,18,17,13,2,21,14,,6,,,
C.McHale,2,60,24,40,13,1.0,0,16,14,10,4,15,6,,6,,,
M.Bartoli,2,58,29,42,16,4.0,3,30,25,7,3,18,13,,6,,,
E.Cabeza Candela,0,68,9,32,3,0.0,1,12,18,5,1,15,8,,0,,,
P.Cetkovska,2,69,28,31,7,6.0,1,30,14,9,4,11,11,,6,,,
P.Parmentier,0,62,16,38,10,3.0,3,16,12,3,1,13,9,,3,,,
S.Stephens,2,73,34,27,6,4.0,2,16,15,6,4,13,8,,6,,,
E.Birnerova,2,76,44,24,15,2.0,2,33,28,12,3,15,6,,6,6.0,,
L.Arruabarrena,0,79,23,21,4,2.0,0,7,7,0,0,12,4,,1,,,
S.Soler-Espinosa,2,58,33,42,10,1.0,3,25,28,13,6,20,14,,1,6.0,,
S.Errani,0,75,28,25,6,0.0,3,13,15,6,1,11,7,,3,,,
M.Krajicek,0,50,11,50,11,1.0,2,7,8,3,0,11,7,,1,,,
O.Govortsova,1,58,30,42,16,0.0,5,20,26,5,4,20,17,,2,3.0,,
N.Bratchikova,0,65,20,35,8,2.0,4,24,30,6,2,19,12,,3,,,
K.Zakopalova,2,54,28,46,13,2.0,4,29,16,8,6,8,5,,6,,,
M.Camerin,1,55,42,45,26,2.0,6,24,31,9,4,17,9,,4,4.0,,
M.Torro-Flor,2,72,25,28,8,,4,22,30,15,5,5,3,,6,,,
Kr.Pliskova,0,69,16,31,6,6.0,1,20,29,8,3,12,7,,4,,,
R.Vinci,2,57,24,43,14,4.0,3,23,6,7,5,20,14,,6,,,
Ka.Pliskova,2,73,33,27,4,13.0,1,32,6,7,3,5,4,,6,,,
